id;Magasin;Code communication;Référence commande;Référence commande externe;Référence pré commande;Configuration commande externe;Date commande;Date livraison;Date validation;Date de début de validation;Date de fin de validation;Statut;Créée par;Validée par;Fournisseur;Nom;Prénom;Titre;Adresse 1;Adresse 2;Adresse 3;Code postal;Ville;Pays;Téléphone 1;Téléphone 2;Fax;Email;Entreprise;Numéro T.V.A. intra.;A.P.E.;SIRET;SIREN;Historique
df84e3cb-26f8-4d79-9420-5da23315bf29;110;;80686576;CMD LD;;;12/11/2025 15:16:50;12/11/2025;12/11/2025 15:25:54;;;en attente de livraison;ajbrindou;ajbrindou;LA MIE DOREE;;;;;;;;;;;;;;;;;;;
73bd813e-3849-4991-909d-fb2a906186bc;110;;39176565;CMD LD F/L;;;12/11/2025 14:58:21;12/11/2025;12/11/2025 14:59:37;;;en attente de livraison;aassale;aassale;LE PANIER LOCAL PRODUCTION;;;;;;;;;;;;;;;;;;;
f62c4b53-c24f-406c-a5d8-30078f6e5198;110;;16078786;CMD LD F/L;;;12/11/2025 14:57:01;12/11/2025;12/11/2025 14:58:15;;;en attente de livraison;aassale;aassale;VEDE INTERNATIONAL;;;;;;;;;;;;;;;;;;;
b5e8f231-a261-4fe1-b3e6-e7d7138134d0;110;;30675219;CMD LC DPHE;;;12/11/2025 13:28:41;12/11/2025;12/11/2025 13:30:34;;;en attente de livraison;kkoffi;kkoffi;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
d2c98af1-2e88-407a-9d84-4703146553d3;110;;21358032;;;;12/11/2025 13:16:01;12/11/2025;12/11/2025 13:19:33;;;en attente de livraison;aglaourou;aglaourou;KONE MAMADOU;;;;;;;;;;;;;;;;;;;
facb7602-a5f5-4168-b0e4-a6c88f60f76e;110;;78597923;CMD LD DPHE;;;12/11/2025 13:09:06;12/11/2025;12/11/2025 13:13:30;;;en attente de livraison;kkoffi;kkoffi;NANO;;;;;;;;;;;;;;;;;;;
032a9374-d92b-4db0-a242-bda7343e8a2a;110;;49961015;;;;12/11/2025 12:50:43;12/11/2025;12/11/2025 12:51:41;;;en attente de livraison;kkoffi;kkoffi;YECAO SARL;;;;;;;;;;;;;;;;;;;
7b519ade-8029-4a72-a6bb-b04d0d03d315;110;;28777939;;;;12/11/2025 12:45:27;12/11/2025;12/11/2025 12:47:02;;;en attente de livraison;lasdoua;lasdoua;YECAO SARL;;;;;;;;;;;;;;;;;;;
097efce5-cbcc-4bb4-8665-a41feff48414;110;;74562019;CMD LD BAZAR;;;12/11/2025 12:35:52;12/11/2025;12/11/2025 12:46:10;;;en attente de livraison;aassale;aassale;SATOCI;;;;;;;;;;;;;;;;;;;
e810cba2-187f-4814-92cb-b5a248915ef0;110;;29244952;CMD LD EPICERIE 12/1/2025;;;12/11/2025 12:18:55;12/11/2025;12/11/2025 12:21:29;;;en attente de livraison;fyeo;fyeo;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
5c2e9145-2f6b-495f-9bab-7ede29c73331;110;;23743847;CMD DPH;;;12/11/2025 12:16:24;12/11/2025;12/11/2025 12:21:26;;;en attente de livraison;ajbrindou;ajbrindou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
2a9be02a-c461-4854-a7a6-17deed170f45;110;;12229036;CMD LC EPIC;;;12/11/2025 12:04:39;12/11/2025;12/11/2025 12:13:11;;;en attente de livraison;ajbrindou;ajbrindou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
74999c56-c51b-4d5e-9493-08f232a1ee30;110;;10127426;CMD LD OUARI FISH SARL 12/11/25;;;12/11/2025 11:46:57;12/11/2025;12/11/2025 11:48:42;;;en attente de livraison;ALOUI.BORIS-ARNAUD;ALOUI.BORIS-ARNAUD;OUARI FISH SARL (OUARI DRISSA);;;;;;;;;;;;;;;;;;;
6e413bb7-fc4a-41e6-a660-c8e15796432e;110;;31870617;CMD LC DPH;;;12/11/2025 11:20:15;12/11/2025;12/11/2025 11:26:21;;;en attente de livraison;ajbrindou;ajbrindou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
326511c0-ddb0-44ad-81a4-fec3439f772a;110;;11853994;CMD LC EPICERIE;;;12/11/2025 11:11:57;12/11/2025;12/11/2025 11:20:05;;;en attente de livraison;ajbrindou;ajbrindou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
253eced7-75ba-4999-98e4-d4b430ee58bd;110;;70146355;CMD LC DPHE;;;12/11/2025 11:09:29;12/11/2025;12/11/2025 11:35:36;;;en attente de livraison;kkoffi;kkoffi;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
2c726b8b-b766-45ce-b52a-83c50e937c7d;110;;29517698;CMD LC TRAITEUR DU 12/11/2025;;;12/11/2025 10:40:39;12/11/2025;12/11/2025 11:12:33;;;en attente de livraison;aglaourou;aglaourou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
09cba8ca-4b5e-42b9-a54e-3aa3c3624c41;110;;10285661;Cmd lc bazar;;;12/11/2025 10:39:38;12/11/2025;12/11/2025 11:03:36;;;en attente de livraison;;kkoffi;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
551f5147-891d-414a-a45d-c5b0eb1a9276;110;;21306645;CMD LD TRAITEUR;;;12/11/2025 10:30:57;12/11/2025;12/11/2025 10:33:25;;;en attente de livraison;aglaourou;aglaourou;COQIVOIRE(SIPRA);;;;;;;;;;;;;;;;;;;
15274d8e-8582-4455-8332-1cb1500287ab;110;;23505383;;;;12/11/2025 10:17:34;13/11/2025;12/11/2025 10:19:10;;;en attente de livraison;;lasdoua;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
3d581e34-00af-4c83-b5a0-f145710be831;110;;27980678;;;;12/11/2025 10:14:47;12/11/2025;12/11/2025 10:18:47;;;en attente de livraison;aglaourou;aglaourou;S.B.V(STE/BOULANGERIE/VOLAILLE);;;;;;;;;;;;;;;;;;;
74e71d6d-da3b-4402-bb73-43706cc8ef66;110;;22425578;CMD LD F/L;;;12/11/2025 10:10:39;12/11/2025;12/11/2025 10:17:18;;;en attente de livraison;aassale;aassale;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
70059b8e-c1e7-495c-9bc8-957d858c72eb;110;;57874500;CMD LC FGX 12/11/25;;;12/11/2025 10:00:24;12/11/2025;12/11/2025 10:02:28;;;en attente de livraison;aassale;aassale;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
247720c2-9481-4b4a-b6ac-cc81c40ebef9;110;;30363986;CMD LC SIROP;;;12/11/2025 09:56:58;12/11/2025;12/11/2025 10:31:32;;;en attente de livraison;ajbrindou;ajbrindou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
5f55e763-e295-4078-93af-5f57292c248e;110;;24705040;CMD LC CREMERIE;;;12/11/2025 09:56:48;12/11/2025;12/11/2025 10:06:06;;;en attente de livraison;ndrfanoh;ndrfanoh;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
8b6c2b54-9abc-492a-9c90-e135328a0390;110;;29790555;CMD LD EPICERIE 12/1/2025;;;12/11/2025 09:43:16;12/11/2025;12/11/2025 09:45:53;;;en attente de livraison;fyeo;fyeo;MAISON ALTA SARL;;;;;;;;;;;;;;;;;;;
e646d215-da73-4714-902f-4fcf269188a1;110;;31621057;CMD LC F/L;;;12/11/2025 09:41:14;12/11/2025;12/11/2025 09:56:09;;;en attente de livraison;aassale;aassale;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
114e49a7-26a8-40b8-a2ca-1ba76ecd0eb8;110;;39681011;CMD LD TEXTILE;;;12/11/2025 08:59:35;12/11/2025;12/11/2025 09:18:03;;;en attente de livraison;aassale;aassale;LEDEN DISTRIBUTION;;;;;;;;;;;;;;;;;;;
e8273608-8bce-4404-9585-f0a911943c0a;110;;25116351;cmd ld sotiv;;;12/11/2025 08:50:02;12/11/2025;12/11/2025 08:51:48;;;en attente de livraison;aglaourou;aglaourou;S O T I V  SARL;;;;;;;;;;;;;;;;;;;
d7d2c0db-475e-4a09-85cd-323e0863f132;110;;30685849;;;;12/11/2025 08:36:32;12/11/2025;12/11/2025 09:37:53;;;en attente de livraison;;lasdoua;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
a27db33d-3f71-4f28-a470-7a0e2df057cf;110;;65243490;;;;12/11/2025 08:21:45;13/11/2025;12/11/2025 08:23:41;;;en attente de livraison;lasdoua;lasdoua;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
ce850e8f-ee42-4d02-bd81-b7a2fdfc1109;110;;21938702;;;;12/11/2025 08:16:34;13/11/2025;12/11/2025 08:21:12;;;en attente de livraison;lasdoua;lasdoua;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
984d91db-73a4-4a87-b753-7c8c2b818419;110;;18801975;CMD LD BOUCHERIE 01/11/2025;;;11/11/2025 19:49:36;11/11/2025;11/11/2025 19:51:14;;;en attente de livraison;YOUAN.BI.PACOME;YOUAN.BI.PACOME;SOCIETE AGRO PISCICOLE DE LA ME;;;;;;;;;;;;;;;;;;;
898fd4db-1c19-4f13-9b5a-31c0154b34d2;110;;31347406;CMD LD BOUCHERIE 01/11/2025;;;11/11/2025 19:36:50;11/11/2025;11/11/2025 19:41:33;;;en attente de livraison;YOUAN.BI.PACOME;YOUAN.BI.PACOME;COQIVOIRE(SIPRA);;;;;;;;;;;;;;;;;;;
e412d20e-2016-4688-b519-d595ab5a3208;110;;14938361;CMD LD BOUCHERIE 01/11/2025;;;11/11/2025 19:35:15;11/11/2025;11/11/2025 19:36:57;;;en attente de livraison;YOUAN.BI.PACOME;YOUAN.BI.PACOME;SOGODOGO TIEMOKO;;;;;;;;;;;;;;;;;;;
8f75d5b1-2acf-4791-bb00-423cfc644a56;110;;45308904;CMD LD BOUCHERIE 01/11/2025;;;11/11/2025 19:32:22;11/11/2025;11/11/2025 19:34:18;;;en attente de livraison;YOUAN.BI.PACOME;YOUAN.BI.PACOME;GOLY ADJO JULIETTE EPSE ACHO;;;;;;;;;;;;;;;;;;;
eb0b0119-2658-43e5-9f39-e0ce484173f6;110;;16546060;;;;11/11/2025 17:34:14;11/11/2025;11/11/2025 17:40:18;;;en attente de livraison;eniongui;eniongui;S O T I V  SARL;;;;;;;;;;;;;;;;;;;
7f72658a-3b26-4b39-a208-9726c36b4377;110;;25560382;CMD LD CHARCUTERIE COUPE 11/11/2025;;;11/11/2025 17:26:27;11/11/2025;11/11/2025 17:33:51;;;en attente de livraison;slogrohouan;slogrohouan;GROUPE INDUSTRIE DISTRIBUTION;;;;;;;;;;;;;;;;;;;
cf67f707-3896-4c91-a447-44b391edfe81;110;;29085082;CMD LD CHARCUTERIE COUPE 11/11/2025;;;11/11/2025 17:20:07;11/11/2025;11/11/2025 17:26:20;;;en attente de livraison;slogrohouan;slogrohouan;SITA SARLU;;;;;;;;;;;;;;;;;;;
f3d90bf3-03c4-4b88-a13f-72934eda04e2;110;;24891205;CMD LD CHARCUTERIE COUPE 11/11/2025;;;11/11/2025 17:12:11;11/11/2025;11/11/2025 17:19:23;;;en attente de livraison;slogrohouan;slogrohouan;SITA SARLU;;;;;;;;;;;;;;;;;;;
80e56489-55e8-40c2-9882-3ee5ef1d2ba4;110;;16159714;CMD LD CHARCUTERIE COUPE 11/11/2025;;;11/11/2025 17:01:55;11/11/2025;11/11/2025 17:11:48;;;en attente de livraison;slogrohouan;slogrohouan;CHARI'A DELICES;;;;;;;;;;;;;;;;;;;
a0b8dfdf-e8ae-4d74-97da-a188518f9ce6;110;;14406262;CMD LD CHARCUTERIE COUPE LOC 11/11/2025;;;11/11/2025 16:57:35;11/11/2025;11/11/2025 17:01:42;;;en attente de livraison;slogrohouan;slogrohouan;SAUCIVOIRE;;;;;;;;;;;;;;;;;;;
fa57b26f-7273-4619-b130-dcf86683f4d4;110;;23877307;CMD LD COMMANDE CHARCUTERIE 11/11/2025;;;11/11/2025 16:49:28;11/11/2025;11/11/2025 16:57:06;;;en attente de livraison;slogrohouan;slogrohouan;SAUCIVOIRE;;;;;;;;;;;;;;;;;;;
8ea92abc-b8b2-49bb-bd6f-ba462695e89f;110;;15781599;CMD LD LID IVOIRE;;;11/11/2025 16:00:12;11/11/2025;11/11/2025 16:02:21;;;en attente de livraison;mtano;mtano;LID IVOIRE SERVICES;;;;;;;;;;;;;;;;;;;
31cf5882-2b7e-46a0-b1dd-cb33974e6849;110;;33527833;CMD LD BOUCHERIE 11/11/2025;;;11/11/2025 15:59:16;11/11/2025;11/11/2025 16:00:31;;;en attente de livraison;YOUAN.BI.PACOME;YOUAN.BI.PACOME;FAFCIS SARL;;;;;;;;;;;;;;;;;;;
